id,list_category,original_entry,common_name,cultivar,crop_type,scientific_name,species_key,family,confidence,note,taxon_id,status
GH-032,Veggies,"Kale, Red Russian",Kale,Red Russian,Siberian kale,Brassica napus (Pabularia Group),Brassica napus,Brassicaceae,High,"Red Russian kale is Brassica napus (Siberian kale), not B. oleracea like most kales.",brassica-napus,current
GH-034,Veggies,"Onions, Bunching Parade",Bunching onion,Parade,Scallion,Allium fistulosum,Allium fistulosum,Amaryllidaceae,Check,Assumed A. fistulosum; some bunching onions are A. cepa. Check packet.,allium-fistulosum,current
GH-039,Veggies,"Peas, Sugar Snap",Snap pea,Sugar Snap,Edible pod,Pisum sativum var. macrocarpon,Pisum sativum,Fabaceae,High,,pisum-sativum,current
GH-040,Veggies,"Pepper, sweet King Arthur",Sweet pepper,King Arthur,Bell,Capsicum annuum,Capsicum annuum,Solanaceae,High,,capsicum-annuum,current
GH-041,Veggies,"Pepper, Hot Cayennetta",Hot pepper,Cayennetta,Cayenne,Capsicum annuum,Capsicum annuum,Solanaceae,High,,capsicum-annuum,current
GH-042,Veggies,"Peppers, Red Rocket",Hot pepper,Red Rocket,Cayenne,Capsicum annuum,Capsicum annuum,Solanaceae,Check,"The Johnny's 'Red Rocket' is a hot cayenne, but a sweet 'Red Rocket' is also sold. Check packet (it decides whether capsaicin is present).",capsicum-annuum,current
GH-043,Veggies,"Radishes, Donato",Radish,Donato,Round,Raphanus sativus,Raphanus sativus,Brassicaceae,High,,raphanus-sativus,current
GH-044,Veggies,"Radishes, Sora",Radish,Sora,Round,Raphanus sativus,Raphanus sativus,Brassicaceae,High,,raphanus-sativus,current
GH-045,Veggies,"Shallots, Conservor",Shallot,Conservor F1,Seed shallot,Allium cepa (Aggregatum Group),Allium cepa,Amaryllidaceae,High,,allium-cepa,current
GH-046,Veggies,"Shallots, Matador",Shallot,Matador,Seed shallot,Allium cepa (Aggregatum Group),Allium cepa,Amaryllidaceae,High,,allium-cepa,current
GH-047,Veggies,"Tomato, Dwarf Red Robin",Tomato,Red Robin,Dwarf,Solanum lycopersicum,Solanum lycopersicum,Solanaceae,High,,solanum-lycopersicum,current
GH-048,Veggies,"Tomato, Tiny Tim",Tomato,Tiny Tim,Dwarf cherry,Solanum lycopersicum,Solanum lycopersicum,Solanaceae,High,,solanum-lycopersicum,current
GH-049,Veggies,"Tomato, Bush Champion II",Tomato,Bush Champion II,Bush,Solanum lycopersicum,Solanum lycopersicum,Solanaceae,High,,solanum-lycopersicum,current
GH-050,Veggies,"Tomato, New Big Dwarf",Tomato,New Big Dwarf,Dwarf,Solanum lycopersicum,Solanum lycopersicum,Solanaceae,High,,solanum-lycopersicum,current
GH-053,Herbs,"Basil,Genovese",Sweet basil,Genovese,Sweet,Ocimum basilicum,Ocimum basilicum,Lamiaceae,High,,ocimum-basilicum,current
GH-054,Herbs,"Basil, Compact",Sweet basil,(not given; compact type),Compact / dwarf,Ocimum basilicum,Ocimum basilicum,Lamiaceae,Check,Cultivar not recorded. Could be O. basilicum or O. minimum (Greek bush basil).,ocimum-basilicum,current
GH-055,Herbs,"Basi,l Cinnamon",Cinnamon basil,Cinnamon,Aromatic,Ocimum basilicum,Ocimum basilicum,Lamiaceae,High,Typo. High methyl cinnamate chemotype.,ocimum-basilicum,current
GH-056,Herbs,"Basil Citrus, Mrs. Burns",Lemon basil,Mrs. Burns' Lemon,Citrus,Ocimum basilicum (lemon group; sometimes O. × africanum),Ocimum basilicum,Lamiaceae,Check,Taxonomy disputed: often treated as the hybrid O. × africanum. Citral chemotype.,ocimum-basilicum,current
GH-057,Herbs,"Basil Purple, Red Rubin Red",Purple basil,Red Rubin,Purple,Ocimum basilicum,Ocimum basilicum,Lamiaceae,High,Anthocyanin-rich.,ocimum-basilicum,current
GH-058,Herbs,"Basil, Sweet Thai",Thai basil,(not given),Thai,Ocimum basilicum var. thyrsiflorum,Ocimum basilicum,Lamiaceae,High,Cultivar not recorded.,ocimum-basilicum,current
GH-059,Herbs,"Chervil, Vertissimo",Chervil,Vertissimo,Leaf,Anthriscus cerefolium,Anthriscus cerefolium,Apiaceae,High,,anthriscus-cerefolium,current
GH-060,Herbs,"Chives,Purly",Chives,Purly,Leaf,Allium schoenoprasum,Allium schoenoprasum,Amaryllidaceae,High,,allium-schoenoprasum,current
GH-061,Herbs,"Chives, Staro",Chives,Staro,Leaf,Allium schoenoprasum,Allium schoenoprasum,Amaryllidaceae,High,,allium-schoenoprasum,current
GH-062,Herbs,Chinese Leeks/Garlic Chives,Garlic chives,(not given),Leaf,Allium tuberosum,Allium tuberosum,Amaryllidaceae,High,,allium-tuberosum,current
GH-064,Herbs,"Dill, Fernleaf",Dill,Fernleaf,Dwarf leaf,Anethum graveolens,Anethum graveolens,Apiaceae,High,,anethum-graveolens,current
GH-065,Herbs,"Dill, Teddy",Dill,Teddy,Dwarf leaf,Anethum graveolens,Anethum graveolens,Apiaceae,High,,anethum-graveolens,current
GH-067,Herbs,Lemon Balm,Lemon balm,(not given),Leaf,Melissa officinalis,Melissa officinalis,Lamiaceae,High,Also listed under Medicinal. Same plant or two plantings?,melissa-officinalis,current
GH-084,Medicinal,Lemon Balm,Lemon balm,(not given),Leaf,Melissa officinalis,Melissa officinalis,Lamiaceae,High,DUPLICATE of the Herbs entry (same plant or two plantings?).,melissa-officinalis,current
GH-068,Herbs,Marjoram,Sweet marjoram,(not given),Leaf,Origanum majorana,Origanum majorana,Lamiaceae,High,,origanum-majorana,current
GH-069,Herbs,"Mint, Common",Mint,(not given),Leaf,Mentha spicata (probable),Mentha spicata,Lamiaceae,Unresolved,"'Common mint' usually means spearmint, but it could be another Mentha. Check label or crush-test (spearmint = carvone; peppermint = menthol).",mentha-spicata,current
GH-070,Herbs,"Mustard, Green Amara",Ethiopian kale / Amara mustard,Amara,Leaf,Brassica carinata,Brassica carinata,Brassicaceae,High,"Not the usual mustard green (B. juncea). Amara is Ethiopian mustard, B. carinata.",brassica-carinata,current
GH-071,Herbs,"Oregano, Greek",Greek oregano,(not given),Leaf,Origanum vulgare subsp. hirtum,Origanum vulgare,Lamiaceae,High,Carvacrol-rich subspecies.,origanum-vulgare,current
GH-072,Herbs,"Parsley, Giant of Italy",Flat-leaf parsley,Giant of Italy,Flat-leaf,Petroselinum crispum (neapolitanum type),Petroselinum crispum,Apiaceae,High,,petroselinum-crispum,current
GH-073,Herbs,Rosmary,Rosemary,(not given),Leaf,Salvia rosmarinus (syn. Rosmarinus officinalis),Salvia rosmarinus,Lamiaceae,High,Typo. Also listed under Medicinal.,salvia-rosmarinus,current
GH-089,Medicinal,Rosemary,Rosemary,(not given),Leaf,Salvia rosmarinus (syn. Rosmarinus officinalis),Salvia rosmarinus,Lamiaceae,High,DUPLICATE of the Herbs entry (same plant or two plantings?).,salvia-rosmarinus,current
GH-074,Herbs,Sage,Common sage,(not given),Leaf,Salvia officinalis,Salvia officinalis,Lamiaceae,High,Also listed under Medicinal.,salvia-officinalis,current
GH-087,Medicinal,Sage,Common sage,(not given),Leaf,Salvia officinalis,Salvia officinalis,Lamiaceae,High,DUPLICATE of the Herbs entry (same plant or two plantings?).,salvia-officinalis,current
GH-075,Herbs,"Thyme, German Winter",Common thyme,German Winter,Leaf,Thymus vulgaris,Thymus vulgaris,Lamiaceae,High,,thymus-vulgaris,current
GH-090,Medicinal,Thyme,Thyme,(not given),Leaf,Thymus vulgaris (probable),Thymus vulgaris,Lamiaceae,Check,"May be the German Winter plant listed under Herbs, or a separate thyme (e.g. lemon thyme, T. × citriodorus).",thymus-vulgaris,current
GH-076,Herbs,Watercress,Watercress,(not given),Leaf,Nasturtium officinale,Nasturtium officinale,Brassicaceae,High,,nasturtium-officinale,current
GH-077,Medicinal,"Basil, Holy",Holy basil (tulsi),(not given),Tulsi,Ocimum tenuiflorum (syn. O. sanctum),Ocimum tenuiflorum,Lamiaceae,Check,"Ask which tulsi. 'Rama' and 'Krishna' are O. tenuiflorum, but 'Vana' tulsi is O. gratissimum, a different species.",ocimum-tenuiflorum,current
GH-078,Medicinal,Calendula,Calendula (pot marigold),(not given),Flower,Calendula officinalis,Calendula officinalis,Asteraceae,High,,calendula-officinalis,current
GH-079,Medicinal,"Chamomile, German",German chamomile,(not given),Flower,Matricaria chamomilla (syn. M. recutita),Matricaria chamomilla,Asteraceae,High,,matricaria-chamomilla,current
GH-080,Medicinal,Dandelion,Dandelion,(not given),Leaf / root,Taraxacum officinale agg.,Taraxacum officinale,Asteraceae,High,,taraxacum-officinale,current
GH-081,Medicinal,Echinacea (purpurea),Purple coneflower,(not given),Flower / root,Echinacea purpurea,Echinacea purpurea,Asteraceae,High,,echinacea-purpurea,current
GH-083,Medicinal,Feverfew,Feverfew,(not given),Leaf / flower,Tanacetum parthenium,Tanacetum parthenium,Asteraceae,High,,tanacetum-parthenium,current
GH-085,Medicinal,Motherwort,Motherwort,(not given),Leaf / flower,Leonurus cardiaca,Leonurus cardiaca,Lamiaceae,High,,leonurus-cardiaca,current
GH-086,Medicinal,Peppermint,Peppermint,(not given),Leaf,Mentha × piperita,Mentha × piperita,Lamiaceae,High,,mentha-x-piperita,current
GH-088,Medicinal,Skullcap,Skullcap,(not given),Aerial parts or root,Scutellaria lateriflora OR Scutellaria baicalensis,Scutellaria (unresolved),Lamiaceae,Unresolved,"Two very different medicinal plants. American skullcap (S. lateriflora, aerial parts) is the usual tea herb. Chinese skullcap (S. baicalensis, root; baicalin, baicalein) is the pharmacology workhorse. Check seed packet.",scutellaria-sp,current
GH-091,Medicinal,Yarrow,Yarrow,(not given),Aerial parts,Achillea millefolium,Achillea millefolium,Asteraceae,High,,achillea-millefolium,current
